"Team","Payroll (millions)","Wins","Abb"
"Nationals","81.34","98","WAS"
"Reds",          "82.20", "97","CIN"
"Yankees",      "197.96", "95","NYY"
"Giants",       "117.62", "94","SF"
"Braves",        "83.31", "94","ATL"
"Athletics",     "55.37", "94","OAK"
"Rangers",      "120.51", "93","TEX"
"Orioles",       "81.43", "93","BAL"
"Rays",          "64.17", "90","TB"
"Angels",       "154.49", "89","ANA"
"Tigers",       "132.30", "88","DET"
"Cardinals",    "110.30", "88","STL"
"Dodgers",       "95.14", "86","LA"
"White Sox",     "96.92", "85","CWS"
"Brewers",       "97.65", "83","MLW"
"Phillies",     "174.54", "81","PHI"
"Diamondbacks",  "74.28", "81","ARZ"
"Pirates",       "63.43", "79","PIT"
"Padres",        "55.24", "76","SD"
"Mariners",      "81.97", "75","SEA"
"Mets",          "93.35", "74","NYM"
"Blue Jays",     "75.48", "73","TOR"
"Royals",        "60.91", "72","KC"
"Marlins",      "118.07", "69","FLA"
"Red Sox",      "173.18", "69","BOS"
"Indians",       "78.43", "68","CLE"
"Twins",         "94.08", "66","MIN"
"Rockies",       "78.06", "64","COL"
"Cubs",          "88.19", "61","CHC"
"Astros",        "60.65", "55","HOU"